identifier;title;cover_date;cited_count;subtype_description;open_access_flag;authors;origin
105025763783;Digital Tech Integration in Industrial Engineer Training via Affordable Academic Tools;2025-12-01;0;Article;True;Lidia M. Belmonte, Eva Segura, José L. Gómez-Sirvent, Francisco López de la Rosa, Javier de las Morenas, Antonio Fernández-Caballero, Rafael Morales;scopus
105023284485;Toward an Intelligent and Near-real-time Framework for Global Ecological Monitoring: Advances, Challenges, and the GIEHP Initiative;2025-12-01;0;Article;False;Dong Xu, Tingting Bai, Wei Qiang Chen, Yongze Song, Yuyu Zhou, Jing Geng, Liu Zhao;scopus
105025081121;Harnessing Data for Sustainability: Applications and Challenges in Environmental Analytics;2025-11-19;0;Book Chapter;False;Ashutosh Kumar Choudhary, Deepak Srivastava;scopus
105023654591;Data Walking: Designing Tools to Build Critical Data Literacy;2025-11-17;0;Conference Paper;True;David Hunter, Juliane Jarke, Katja Mayer, Katrin Amelang, Daniel Leithinger, Ellen Yi Luen Do;scopus
105022934017;Citizen Science and STEM Education with R: AI–IoT Forecasting and Reproducible Learning from Open Urban Air Quality Data;2025-11-01;1;Article;True;Jesús Cáceres-Tello, José Javier Galán-Hernández, María Belén Morales Cevallo, Eloy López-Meneses;scopus
105023123294;Air Sensor Network Analysis Tool: R-Shiny Application;2025-11-01;0;Article;True;Karoline K. Barkjohn, Todd Plessel, Jiacheng Yang, Gavendra Pandey, Yadong Xu, Stephen Krabbe, Catherine Seppanen, Renée Bichler, Huy Nguyen Quang Tran, Saravanan Arunachalam, Andrea L. Clements;scopus
105009051661;Using the pollution load index to evaluate rooftop harvested rainwater metal(loid) contamination in environmental justice communities;2025-11-01;1;Article;False;God'sgift N. Chukwuonye, Kunal Palawat, Robert A. Root, Luz Imelda Cortez, Theresa Foley, Victoria Carella, Charles Beck, Mónica D. Ramírez-Andreotta;scopus
105019683736;From Signal to Significance: Why Sensors Need Culture;2025-10-24;1;Review;False;Andrey V. Kalinichev;scopus
105020568148;Multi-dimensional Engagement for Richer Hyperlocal Citizen Science Data;2025-10-01;0;Conference Paper;True;Abhishek Viswanathan, Vasco Xu, Amy Babay, Rosta Farzan, Aaron Birdy;scopus
105016579618;Enhancing ATMO-Street model accuracy through emission source analysis using a dense sensor network: a Warsaw case study;2025-10-01;1;Article;True;Anahita Sattari, Hans Hooyberghs, Stijn Janssen, Aleksander Norowski, Lisa Blyth, Iwo Augustynski;scopus
105018917739;A Comprehensive Review of Data-Driven Techniques for Air Pollution Concentration Forecasting;2025-10-01;0;Review;True;Jaroslaw Bernacki, Rafał Scherer;scopus
105017121596;Sensortoolkit—A Python Library for Standardizing the Ingestion, Analysis, and Reporting of Air Sensor Data for Performance Evaluation;2025-09-01;1;Article;True;Menaka Kumar, Samuel G. Frederick, Karoline K. Barkjohn, Andrea L. Clements;scopus
105007769533;Advancements in air quality monitoring: a systematic review of IoT-based air quality monitoring and AI technologies;2025-09-01;10;Article;True;Antony Garcia, Yessica Saez, Itamar Harris, Xinming Huang, Edwin Collado;scopus
105008559096;Integrating perspectives: Multi-sectoral insights into U.S. Gulf Coast flood governance;2025-09-01;1;Article;False;Koorosh Azizi, Yuer Wang, Olivia Enriquez, Paola Passalacqua, Dev Niyogi, R. Patrick Bixler;scopus
105013799192;Air quality in Africa from the telecoupled perspective: exploring interdisciplinary and transboundary scientific collaboration between Africa and the Global North;2025-08-11;0;Review;True;Marleen Dekker, Agnieszka H. Kazimierczuk, Rebecca M. Garland, Deborah Stein-Zweers, Pieternel F. Levelt;scopus
105001507783;WeAIR: Wearable Swarm Sensors for Air Quality Monitoring to Foster Citizens’ Awareness of Climate Change;2025-08-01;0;Article;True;Giovanna Maria Dimitri, Lorenzo Parri, Eleonora Vitanza, Alessandro Pozzebon, Ada Fort, Chiara Mocenni;scopus
105002303070;Assessing the impact of traffic restriction interventions on school air quality: a citizen science-based modelling study;2025-07-15;1;Article;True;Luca Boniardi, Federica Nobile, Massimo Stafoggia, Paola Michelozzi, Carla Ancona;scopus
105012163410;From Data to Discussion: Interfaces for Collective Inquiry and Open-Ended Data Creation;2025-07-05;0;Conference Paper;True;David Hunter;scopus
105020664915;Designing Tools for Data Advocacy;2025-07-04;0;Conference Paper;True;Ashley Boone, Aparna Arul, James Kemerait, Ian Wood, Jaeri Suh, Carl Disalvo, Christopher A. Le Dantec;scopus
105002680589;Ten questions concerning the future of residential indoor air quality and its environmental justice implications;2025-06-15;7;Article;True;D. Booker, G. Petrou, L. Chatzidiakou, D. Das, F. Farooq, L. Ferguson, OE E.I. Jutila, K. Milczewska, M. Modlich, A. Moreno-Rangel, S. K. Thakrar, A. M. Yeoman, M. Davies, M. I. Mead, M. R. Miller, O. Wild, Z. Shi, A. Mavrogianni, R. M. Doherty;scopus
